"subject","answer_correct"
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,0
101,0
101,1
101,1
101,1
101,1
101,1
101,0
101,0
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,0
101,1
101,1
101,0
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,0
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,0
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,1
102,0
102,1
102,1
102,1
102,1
102,1
102,1
102,0
102,1
